symbol,tf,window,spearman,t,low10_fwd,low10_t,high10_fwd,high10_t
SOLUSDT,1d,6,0.01743419020004679,0.8223092645385468,0.00431540728476478,0.8785544017245149,0.011776537446749592,2.4644633589047253
SOLUSDT,1d,7,0.01936603109892594,0.9132544795935207,0.003406843987252,0.6872752709635511,0.009831587371646506,2.050220043148576
SOLUSDT,1d,8,0.020993173232487495,0.9897963263832843,0.0041735048040737344,0.8277921097045288,0.011689719788301805,2.407813903715861
SOLUSDT,1d,9,0.022756240373309363,1.0727222035672601,0.0042025181078923475,0.8377000005913154,0.012075947829231014,2.4556517858881604
SOLUSDT,1d,10,0.023679793710800316,1.1160308443029665,0.004682933735431535,0.9146864027647528,0.011923274761670932,2.3919713595300376
SOLUSDT,1d,12,0.025555388081009746,1.2039407428709366,0.00602545223698086,1.1750197193636316,0.016038725579253763,3.043936437381141
SOLUSDT,1d,14,0.02624720241596254,1.2359973687653958,0.005954345570190139,1.1668335522268094,0.01628918960205096,3.077215529409023
SOLUSDT,1d,16,0.026956915242308716,1.2688691961150818,0.004967999295979893,0.9756109041925742,0.015630135092025082,2.996598977010353
SOLUSDT,1d,18,0.02713743408816248,1.2767954250217721,0.003183535929818234,0.6189046690020245,0.015899201297084425,2.9999235544050937
SOLUSDT,1d,21,0.026574848603423396,1.2494591604193117,-3.0330897567085055e-05,-0.005967605084002021,0.016393707373607385,3.04019512887057
SOLUSDT,1d,25,0.027519243130788462,1.2927224526428511,0.0005758055104388982,0.11268734500025906,0.014564966577211378,2.776410446727598
SOLUSDT,1d,30,0.028734452775364995,1.3483220501295616,0.004727741745092127,0.9876693463944879,0.014964872705809734,2.796580031003125
SOLUSDT,4h,2,-0.034141281941037147,-3.952968675531479,0.001787422508436585,2.531765599062042,0.00020174047258998825,0.2990625265332909
SOLUSDT,4h,3,-0.032584869255476344,-3.7724260682551076,0.0014610505897776677,2.016454028149624,0.00017714710903035352,0.2594794615152016
SOLUSDT,4h,4,-0.031102536189528865,-3.6005083201142263,0.0015093167006790128,2.0013842665774724,0.00039977177384263715,0.5633050080327738
SOLUSDT,4h,5,-0.029096562207750254,-3.3679623520098003,0.001057654566228019,1.2996882701722001,0.00040927300807565417,0.566039871173413
SOLUSDT,4h,6,-0.02737743386662668,-3.16869885521785,0.0006113821219884256,0.7331216310397115,0.000509863002357276,0.6976336135962937
SOLUSDT,4h,7,-0.025851438500020443,-2.9918448580513406,0.000603413228387503,0.7205407333388258,0.000188213257610373,0.25481000990280195
SOLUSDT,4h,8,-0.024485305301112596,-2.8335358572825213,0.0006724808692745151,0.7983264367333385,0.0003265571231344038,0.44069443771672984
SOLUSDT,4h,9,-0.02288206641819989,-2.647803223303573,0.000732299900513934,0.8717593052393054,0.00047314934859014635,0.6246876590530761
SOLUSDT,4h,10,-0.02167434780979706,-2.5078905895963013,0.00036448835789597853,0.4352915952527054,0.00032742853114513086,0.43051174362201
SOLUSDT,4h,12,-0.019526874553575366,-2.259142400840716,-3.547210041151688e-05,-0.042076694870064414,0.00010179637898880201,0.133118584819982
SOLUSDT,4h,14,-0.01713091049320035,-1.9817085216039934,0.00037336256946172834,0.4393690751595953,0.0006319689751130883,0.8133019909460336
SOLUSDT,4h,16,-0.015322162798701685,-1.772287554805986,0.00027044256728536893,0.3157015023579818,0.0009168073428739147,1.1681150997693008
SOLUSDT,4h,18,-0.013496725452863007,-1.560984650547392,0.0002133382307713096,0.2502198175264134,0.0008351737825038206,1.0510789338882218
SOLUSDT,4h,21,-0.011494988653377175,-1.3292883112556373,0.0004776117357456833,0.5488849806107516,0.0010499570383862079,1.321186570944988
SOLUSDT,4h,25,-0.009509312546469258,-1.0994759465618424,0.00040661945529822554,0.4636395137330888,0.0011825548174120013,1.4686293104585268
SOLUSDT,4h,30,-0.0074928121726258136,-0.866149324788782,8.87670838870955e-05,0.10131518121363392,0.001393837835625773,1.7137611722727253
