symbol,tf,window,mr_ret,mr_trades,mr_win,mr_expo,mom_ret,mom_trades,mom_win,mom_expo
SOLUSDT,1d,12,-3.4778326889353934,64,0.03125,0.10344827586206896,22.79101282156786,128,0.5703125,0.4890282131661442
SOLUSDT,1d,14,-3.182647631735607,60,0.05,0.10523958799820869,22.329020642988965,119,0.5462184873949579,0.4845499328257949
SOLUSDT,1d,16,-3.0671994309242456,62,0.06451612903225806,0.10927004030452306,21.8603387003648,106,0.5094339622641509,0.4845499328257949
SOLUSDT,1d,18,-3.1696445058017004,58,0.05172413793103448,0.11240483654276757,40.96473721261232,95,0.5052631578947369,0.48365427675772504
SOLUSDT,1d,21,-2.955007136383435,52,0.019230769230769232,0.11553963278101209,42.658239368816595,92,0.44565217391304346,0.47693685624720106
SOLUSDT,1d,25,-2.642269463577841,52,0.09615384615384616,0.1244961934617107,42.45166018750498,81,0.43209876543209874,0.4697716077026422
SOLUSDT,1d,30,-2.7487573810590926,46,0.043478260869565216,0.13076578593819974,32.31764303354404,74,0.3918918918918919,0.46171070309001344
SOLUSDT,4h,2,-11.3774530715008,742,0.0,0.10100783874580067,45.41205586294877,2195,0.5202733485193621,0.4974990668159761
SOLUSDT,4h,3,-11.96322742577557,684,0.0043859649122807015,0.10130645763344531,38.89842699799276,1736,0.5253456221198156,0.4939156401642404
SOLUSDT,4h,4,-12.140811412526475,615,0.014634146341463415,0.10048525569242255,35.69643390636384,1484,0.5202156334231806,0.4937663307204181
SOLUSDT,4h,5,-12.032945044719252,570,0.017543859649122806,0.10205300485255693,33.45570704908891,1296,0.5200617283950617,0.4963792459873087
SOLUSDT,4h,6,-11.938778503345397,520,0.028846153846153848,0.10212765957446808,30.89302521677692,1179,0.5055131467345207,0.4933930571108623
SOLUSDT,4h,7,-11.611621024093916,491,0.03665987780040733,0.10265024262784621,29.323351078071205,1069,0.49953227315247895,0.49384098544232924
SOLUSDT,4h,8,-11.321962696688166,464,0.04310344827586207,0.1039940276222471,27.73887198984008,996,0.4979919678714859,0.4957820082120194
SOLUSDT,4h,9,-11.06241902936802,441,0.045351473922902494,0.10518850317282569,26.68472384543344,938,0.4904051172707889,0.4948861515490855
SOLUSDT,4h,10,-10.383513066526596,429,0.06060606060606061,0.10429264650989176,25.78653441318408,871,0.505166475315729,0.49593131765584175
SOLUSDT,4h,12,-9.732749665131077,387,0.07493540051679587,0.10406868234415827,24.941280851838776,790,0.49240506329113926,0.49630459126539755
SOLUSDT,4h,14,-9.654358078479278,362,0.06629834254143646,0.10556177678238149,23.788938338081472,742,0.46765498652291104,0.4948861515490855
SOLUSDT,4h,16,-9.019574943124717,346,0.07803468208092486,0.10757745427398283,23.238432920986604,687,0.46870451237263466,0.4963792459873087
SOLUSDT,4h,18,-8.832085838479289,343,0.08163265306122448,0.10847331093691676,22.98959624220895,644,0.4782608695652174,0.49585666293393055
SOLUSDT,4h,21,-8.29514639622075,325,0.08,0.10981709593131765,21.860189214779766,587,0.454855195911414,0.49854423292273237
SOLUSDT,4h,25,-8.095472793873988,316,0.0981012658227848,0.11168346397909668,21.09491748423886,556,0.4316546762589928,0.4980216498693542
SOLUSDT,4h,30,-7.513951854937445,283,0.09187279151943463,0.11534154535274356,19.969568396541348,494,0.4433198380566802,0.4971257932064203
