symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
BTCUSDT,4h,10,hi_bull,1062,88,0.001044354074228102,2.154235568694246,2.424708245338806
BTCUSDT,4h,10,hi_bear,928,91,2.4942111099971677e-05,0.02918188536232507,0.03738393534867081
BTCUSDT,4h,12,lo,1990,245,0.0002269876579328573,0.8966802765749583,0.8480403688160514
BTCUSDT,4h,12,hi,1990,127,0.0004426288056688464,0.9332709157973279,1.0565010915332729
BTCUSDT,4h,12,hi_bull,1033,62,0.0011396268735518803,2.3897178794072156,3.425333165155829
BTCUSDT,4h,12,hi_bear,957,74,-0.00030972125088619436,-0.36834626964238243,-0.4436018377046736
BTCUSDT,4h,14,lo,1990,211,8.555697072542325e-05,0.35193445735436235,0.3464902963585727
BTCUSDT,4h,14,hi,1990,103,0.0004643885136637521,0.971797100702237,1.0943382088499467
BTCUSDT,4h,14,hi_bull,1043,49,0.0009946603017764587,2.0735028017452457,3.1131665981142196
BTCUSDT,4h,14,hi_bear,947,66,-0.00011963838707706422,-0.14011470922996241,-0.1588675370945689
BTCUSDT,4h,16,lo,1989,180,0.0001488431917887866,0.6104367632326129,0.5872368760360296
BTCUSDT,4h,16,hi,1989,94,0.0005193694182686988,1.0914763157990555,1.274821999400809
BTCUSDT,4h,16,hi_bull,1033,44,0.000969276728047917,2.0364505542159024,3.057073312900726
BTCUSDT,4h,16,hi_bear,956,64,3.322480424994116e-05,0.03927466916542139,0.04652878873762944
BTCUSDT,4h,18,lo,1989,162,8.656027953016778e-05,0.35978673732785854,0.32009399147374734
BTCUSDT,4h,18,hi,1989,86,0.00041146869624065634,0.9276202685178241,1.0696111335996412
BTCUSDT,4h,18,hi_bull,1042,42,0.0009773929031905377,2.063896559813256,2.999050546627967
BTCUSDT,4h,18,hi_bear,947,54,-0.00021122721045604493,-0.27357903168372183,-0.33433203887735086
BTCUSDT,4h,21,lo,1988,128,0.00021553633578764073,0.8988043481642806,0.7802748222380183
BTCUSDT,4h,21,hi,1988,71,0.0006107690806229798,1.3934505574063945,1.5940576064335201
BTCUSDT,4h,21,hi_bull,1042,38,0.0009225660567018738,2.0363936422873934,3.017470640400183
BTCUSDT,4h,21,hi_bear,946,46,0.0002673309737792089,0.34522803156566206,0.3938937882430981
BTCUSDT,4h,25,lo,1987,110,0.000306564919232207,1.3386197965609883,1.148567173977434
BTCUSDT,4h,25,hi,1987,59,0.00036553401556699847,0.8510299003427476,1.1463671038277956
BTCUSDT,4h,25,hi_bull,1052,38,0.0006371400588857538,1.4338559882803261,1.9678448816703047
BTCUSDT,4h,25,hi_bear,935,36,5.994090586504054e-05,0.07847154085769821,0.11872447582758701
BTCUSDT,4h,30,lo,1986,89,0.00022008164452373094,1.008796393926203,0.8719610761777591
BTCUSDT,4h,30,hi,1986,48,0.0003238787812207021,0.7620933960310179,0.9786221491015734
BTCUSDT,4h,30,hi_bull,1033,34,0.0006173266101237411,1.342389072037997,1.7567090371415612
BTCUSDT,4h,30,hi_bear,953,26,5.797346533567487e-06,0.007917858992505718,0.010359742117467019
