symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,1d,9,bear,adx_gt_med,21,0.004108738715956179,0.5432909069266388
BTCUSDT,1d,10,bull,all,135,0.0048304733092896495,1.9079501032843178
BTCUSDT,1d,10,bull,fixed20,92,0.003932404708881839,1.1377474963986092
BTCUSDT,1d,10,bull,adx_gt_med,21,0.010997661307842152,1.5808634098828778
BTCUSDT,1d,10,bear,all,134,-0.0021888623883659377,-0.6911334817842587
BTCUSDT,1d,10,bear,fixed20,97,0.00011480358610032072,0.030581733103020533
BTCUSDT,1d,10,bear,adx_gt_med,22,-0.0037441348639861804,-0.6214586616440612
BTCUSDT,1d,12,bull,all,120,0.007240833261963353,2.8142271210981735
BTCUSDT,1d,12,bull,fixed20,69,0.009305507234587129,2.3932697418094455
BTCUSDT,1d,12,bull,adx_gt_med,20,0.009288307837331611,1.0773455608239022
BTCUSDT,1d,12,bear,all,119,-0.0037490550547024577,-1.041451816723698
BTCUSDT,1d,12,bear,fixed20,77,-0.0018154990277905257,-0.38129025793857063
BTCUSDT,1d,12,bear,adx_gt_med,21,0.005359367699220054,0.8540009906635212
BTCUSDT,1d,14,bull,all,109,0.0034160803164822885,1.492551424340493
BTCUSDT,1d,14,bull,fixed20,52,0.004806056838090179,1.2409464568095767
BTCUSDT,1d,14,bull,adx_gt_med,18,-0.0032480978022801613,-0.4992557869107132
BTCUSDT,1d,14,bear,all,108,-0.004285166112558452,-1.1217607935202787
BTCUSDT,1d,14,bear,fixed20,64,-0.0018856991665500249,-0.3505953542655263
BTCUSDT,1d,14,bear,adx_gt_med,22,0.015680134949746308,2.268984459524507
BTCUSDT,1d,16,bull,all,96,0.006160201685064099,2.643360416440742
BTCUSDT,1d,16,bull,fixed20,44,0.010027660205536778,2.457362262927906
BTCUSDT,1d,16,bull,adx_gt_med,16,0.001788792498969384,0.33717837181379334
BTCUSDT,1d,16,bear,all,95,-0.005196882077559159,-1.3412755542677381
BTCUSDT,1d,16,bear,fixed20,47,-0.001514045299546772,-0.24424196229721828
BTCUSDT,1d,16,bear,adx_gt_med,16,-0.003472463672871254,-0.24993379823734668
BTCUSDT,1d,18,bull,all,96,0.0033279517603055663,1.2404894634922252
BTCUSDT,1d,18,bull,fixed20,46,0.00296953949461613,0.6151039849327392
BTCUSDT,1d,18,bull,adx_gt_med,19,-0.0032113736574729095,-0.6999604398352065
BTCUSDT,1d,18,bear,all,95,-0.004246064417958327,-1.0533824260805351
BTCUSDT,1d,18,bear,fixed20,40,-0.0017561857970002758,-0.23742220312662432
BTCUSDT,1d,18,bear,adx_gt_med,15,-0.009870235380406656,-0.6494044777539382
BTCUSDT,1d,21,bull,all,89,0.004505072952767421,1.752554648084803
BTCUSDT,1d,21,bull,fixed20,34,0.008509574639645167,1.5805733572570926
